"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10864","Change cabin class","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit Dropdown Changes","SearchResult_tc.spec.ts","",""
"","9371","Search_oneWay","Desktop Chrome","2026-05-08","passed","2026-05-08","Flight Search","Search_tc.spec.ts","",""
"","9016","FLYWT logo is visible","Desktop Chrome","2026-05-06","passed","2026-05-06","Flight Search","Search_tc.spec.ts","",""
"","2962","Home button","Desktop Chrome","2026-05-08","passed","2026-05-08","Flight Search","Search_tc.spec.ts","",""
"","11607","Change currency","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit Dropdown Changes","SearchResult_tc.spec.ts","",""
"","288328","Sort by Cheapest after One Way search","Desktop Chrome","2026-05-04","passed","2026-05-04","Search ResultsSorting","SearchResult_tc.spec.ts","",""
"","0","Change currency in edit mode","Desktop Chrome","2026-05-03","skipped","2026-05-03","Edit Mode Dropdown Changes","SearchResult_tc.spec.ts","",""
"","31964","User can fill origin, destination and dates","Desktop Chrome","2026-05-06","broken","2026-05-06","Flight Search","Search_tc.spec.ts","",""
"","68272","Click Edit button opens edit panel","Desktop Chrome","2026-05-05","passed","2026-05-05","Search Results Edit ","SearchResult_tc.spec.ts","",""
"","1123","Full edit flow: open -> change passengers -> apply","Desktop Chrome","2026-05-06","failed","2026-05-06","Edit Integration","SearchResult_tc.spec.ts","",""
"","0","Open passenger dropdown in edit mode","Desktop Chrome","2026-05-03","skipped","2026-05-03","Edit Mode Passenger Changes","SearchResult_tc.spec.ts","",""
"","145354","Sort by Fastest after Round Trip search","Desktop Chrome","2026-05-04","passed","2026-05-04","Search ResultsSorting","SearchResult_tc.spec.ts","",""
"","136145","Change departure city in edit mode","Desktop Chrome","2026-05-05","failed","2026-05-05"," Edit  City Selection","SearchResult_tc.spec.ts","",""
"","71402","Close edit panel closes the edit modal","Desktop Chrome","2026-05-05","passed","2026-05-05","Search Results Edit ","SearchResult_tc.spec.ts","",""
"","14388","Apply edit search with city and date changes","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit Search Apply","SearchResult_tc.spec.ts","",""
"","6808","Currency dropdown","Desktop Chrome","2026-05-08","passed","2026-05-08","Flight Search","Search_tc.spec.ts","",""
"","13544","Change departure date","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit Date Changes","SearchResult_tc.spec.ts","",""
"","11561","Change departure city","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit City Selection","SearchResult_tc.spec.ts","",""
"","3862","User can select trip type","Desktop Chrome","2026-05-06","failed","2026-05-06","Flight Search","Search_tc.spec.ts","",""
"","16655","Full edit flow: round trip","Desktop Chrome","2026-05-06","failed","2026-05-06","Edit Full Flow","SearchResult_tc.spec.ts","",""
"","28484","Full edit flow: open -> change city -> change date -> apply","Desktop Chrome","2026-05-06","failed","2026-05-06","Edit Integration","SearchResult_tc.spec.ts","",""
"","17384","Change both","Desktop Chrome","2026-05-05","passed","2026-05-05"," Edit  City Selection","SearchResult_tc.spec.ts","",""
"","0","Change multiple passenger types in edit mode","Desktop Chrome","2026-05-03","skipped","2026-05-03","Edit Mode Passenger Changes","SearchResult_tc.spec.ts","",""
"","16267","Sort by Fastest after Round Trip search","Desktop Chrome","2026-05-08","passed","2026-05-08","Sorting","SearchResult_tc.spec.ts","",""
"","22336","Full edit flow: open -> change city -> change date -> apply","Desktop Chrome","2026-05-06","passed","2026-05-06","Edit Full Flow","SearchResult_tc.spec.ts","",""
"","14091","Change both","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit City Selection","SearchResult_tc.spec.ts","",""
"","26082","Change both departure and return dates in edit mode","Desktop Chrome","2026-05-06","passed","2026-05-06"," Edit Date ","SearchResult_tc.spec.ts","",""
"","5206","select cabin class","Desktop Chrome","2026-05-08","passed","2026-05-08","Flight Search","Search_tc.spec.ts","",""
"","20725","Change return date","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit Date Changes","SearchResult_tc.spec.ts","",""
"","1","Change both departure and return dates in edit mode","Desktop Chrome","2026-05-03","skipped","2026-05-03"," Edit Mode Date Changes","SearchResult_tc.spec.ts","",""
"","0","Full edit flow: open -> change city -> change date -> apply","Desktop Chrome","2026-05-03","skipped","2026-05-03","Edit Mode Integration","SearchResult_tc.spec.ts","",""
"","28712","Change multiple passenger types in edit mode","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit Passenger Changes","SearchResult_tc.spec.ts","",""
"","18520","Increment passenger count in edit mode","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit Passenger Changes","SearchResult_tc.spec.ts","",""
"","12327","Change destination city","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit City Selection","SearchResult_tc.spec.ts","",""
"","10895","Change trip type","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit Dropdown Changes","SearchResult_tc.spec.ts","",""
"","12930","Sort by Cheapest after One Way search","Desktop Chrome","2026-05-04","passed","2026-05-04","Search Results Page - Sorting","SearchResult_tc.spec.ts","",""
"","2532","Multiple edit operations: sort -> edit -> apply","Desktop Chrome","2026-05-06","failed","2026-05-06","Edit Integration","SearchResult_tc.spec.ts","",""
"","15712","Complete edit search workflow with One Way","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit Search Apply","SearchResult_tc.spec.ts","",""
"","1800","Fill origin, destination and dates","Desktop Chrome","2026-05-08","failed","2026-05-08","Flight Search","Search_tc.spec.ts","",""
"","16048","Change both departure","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit Date Changes","SearchResult_tc.spec.ts","",""
"","10797","Click Edit Button","Desktop Chrome","2026-05-08","passed","2026-05-08","Search Edit ","SearchResult_tc.spec.ts","",""
"","1951","Update Round Trip search parameters in edit mode","Desktop Chrome","2026-05-06","failed","2026-05-06","Edit Batch Updates","SearchResult_tc.spec.ts","",""
"","0","Click Edit button opens edit panel","Desktop Chrome","2026-05-03","skipped","2026-05-03","Search Results Page - Edit Mode UI","SearchResult_tc.spec.ts","",""
"","17138","Change both departure","Desktop Chrome","2026-05-05","passed","2026-05-05"," Edit Mode Date Changes","SearchResult_tc.spec.ts","",""
"","0","Multiple edit operations: sort -> edit -> apply","Desktop Chrome","2026-05-03","skipped","2026-05-03","Edit Mode Integration","SearchResult_tc.spec.ts","",""
"","0","Sort by Fastest after Round Trip search","Desktop Chrome","2026-05-03","skipped","2026-05-03","Search Results Page - Sorting","SearchResult_tc.spec.ts","",""
"","10025","Sort by Cheapest after One Way search","Desktop Chrome","2026-05-08","passed","2026-05-08","Sorting","SearchResult_tc.spec.ts","",""
"","0","Complete edit search workflow with Round Trip","Desktop Chrome","2026-05-03","skipped","2026-05-03","Edit Mode Search Apply","SearchResult_tc.spec.ts","",""
"","0","Edit search and cancel by closing panel","Desktop Chrome","2026-05-03","skipped","2026-05-03","Edit Mode Integration","SearchResult_tc.spec.ts","",""
"","23672","Full edit flow: change to multi-city","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit Full Flow","SearchResult_tc.spec.ts","",""
"","2740","Currency dropdown selects correct currency","Desktop Chrome","2026-05-06","failed","2026-05-06","Flight Search","Search_tc.spec.ts","",""
"","0","Change destination city in edit mode","Desktop Chrome","2026-05-03","skipped","2026-05-03"," Edit  City Selection","SearchResult_tc.spec.ts","",""
"","16905","Apply passenger selection in edit mode","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit Passenger Changes","SearchResult_tc.spec.ts","",""
"","24183","Update One Way search parameters in edit mode","Desktop Chrome","2026-05-06","failed","2026-05-06","Edit Batch Updates","SearchResult_tc.spec.ts","",""
"","1","Apply passenger selection in edit mode","Desktop Chrome","2026-05-03","skipped","2026-05-03","Edit Mode Passenger Changes","SearchResult_tc.spec.ts","",""
"","27879","Change return date in Round Trip edit mode","Desktop Chrome","2026-05-06","passed","2026-05-06"," Edit Date ","SearchResult_tc.spec.ts","",""
"","10705","Sort by Recommended after Round Trip search","Desktop Chrome","2026-05-08","passed","2026-05-08","Sorting","SearchResult_tc.spec.ts","",""
"","0","Change both cities in edit mode","Desktop Chrome","2026-05-03","skipped","2026-05-03"," Edit  City Selection","SearchResult_tc.spec.ts","",""
"","24287","Full edit flow to one way","Desktop Chrome","2026-05-08","passed","2026-05-08","Edit Full Flow","SearchResult_tc.spec.ts","",""
"","31704","Sort after Round Trip search","Desktop Chrome","2026-05-03","broken","2026-05-03","Search Results","SearchResult_tc.spec.ts","",""
"","31445","Change cabin class in edit mode","Desktop Chrome","2026-05-06","broken","2026-05-06","Edit Dropdown Changes","SearchResult_tc.spec.ts","",""
